Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
05.01.2018 04:45 - 05.01.2018 05:00,9031,8961
05.01.2018 05:00 - 05.01.2018 05:15,9150,9012
05.01.2018 05:15 - 05.01.2018 05:30,9304,9179
05.01.2018 05:30 - 05.01.2018 05:45,9411,9386
05.01.2018 05:45 - 05.01.2018 06:00,9503,9526
05.01.2018 06:00 - 05.01.2018 06:15,9811,9819
05.01.2018 06:15 - 05.01.2018 06:30,10058,10050
05.01.2018 06:30 - 05.01.2018 06:45,10315,10223
05.01.2018 06:45 - 05.01.2018 07:00,10517,10239
05.01.2018 07:00 - 05.01.2018 07:15,10577,10449
05.01.2018 07:15 - 05.01.2018 07:30,10716,10865
05.01.2018 07:30 - 05.01.2018 07:45,10994,10935
05.01.2018 07:45 - 05.01.2018 08:00,11136,11034
05.01.2018 08:00 - 05.01.2018 08:15,11328,11398
05.01.2018 08:15 - 05.01.2018 08:30,11494,11610
05.01.2018 08:30 - 05.01.2018 08:45,11607,11785
05.01.2018 08:45 - 05.01.2018 09:00,11660,11718
05.01.2018 09:00 - 05.01.2018 09:15,11794,11741
05.01.2018 09:15 - 05.01.2018 09:30,11869,11847
05.01.2018 09:30 - 05.01.2018 09:45,11896,11963
05.01.2018 09:45 - 05.01.2018 10:00,11945,11882
05.01.2018 10:00 - 05.01.2018 10:15,11872,12046
05.01.2018 10:15 - 05.01.2018 10:30,11899,12103
05.01.2018 10:30 - 05.01.2018 10:45,11932,12018
05.01.2018 10:45 - 05.01.2018 11:00,11998,12142
05.01.2018 11:00 - 05.01.2018 11:15,11949,12015
05.01.2018 11:15 - 05.01.2018 11:30,11992,11956
05.01.2018 11:30 - 05.01.2018 11:45,12052,11708
05.01.2018 11:45 - 05.01.2018 12:00,12078,11983
05.01.2018 12:00 - 05.01.2018 12:15,12006,12248
05.01.2018 12:15 - 05.01.2018 12:30,11928,12044
05.01.2018 12:30 - 05.01.2018 12:45,11895,11922
05.01.2018 12:45 - 05.01.2018 13:00,11857,11739
05.01.2018 13:00 - 05.01.2018 13:15,11689,11658
05.01.2018 13:15 - 05.01.2018 13:30,11669,11735
05.01.2018 13:30 - 05.01.2018 13:45,11649,11728
05.01.2018 13:45 - 05.01.2018 14:00,11600,11550
05.01.2018 14:00 - 05.01.2018 14:15,11445,11690
05.01.2018 14:15 - 05.01.2018 14:30,11425,11752
05.01.2018 14:30 - 05.01.2018 14:45,11396,11602
05.01.2018 14:45 - 05.01.2018 15:00,11375,11452
05.01.2018 15:00 - 05.01.2018 15:15,11420,11318
05.01.2018 15:15 - 05.01.2018 15:30,11372,11281
05.01.2018 15:30 - 05.01.2018 15:45,11364,11365
05.01.2018 15:45 - 05.01.2018 16:00,11377,11369
05.01.2018 16:00 - 05.01.2018 16:15,11660,11376
05.01.2018 16:15 - 05.01.2018 16:30,11718,11491
05.01.2018 16:30 - 05.01.2018 16:45,11812,11516
05.01.2018 16:45 - 05.01.2018 17:00,11984,11467
05.01.2018 17:00 - 05.01.2018 17:15,12247,11753
05.01.2018 17:15 - 05.01.2018 17:30,12375,11906
05.01.2018 17:30 - 05.01.2018 17:45,12487,12074
05.01.2018 17:45 - 05.01.2018 18:00,12570,12157
05.01.2018 18:00 - 05.01.2018 18:15,12507,11968
05.01.2018 18:15 - 05.01.2018 18:30,12418,11953
05.01.2018 18:30 - 05.01.2018 18:45,12331,11902
