Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
25.09.2018 12:00 - 25.09.2018 12:15,11021,10834
25.09.2018 12:15 - 25.09.2018 12:30,10880,10728
25.09.2018 12:30 - 25.09.2018 12:45,10852,10632
25.09.2018 12:45 - 25.09.2018 13:00,10855,10674
25.09.2018 13:00 - 25.09.2018 13:15,10820,10698
25.09.2018 13:15 - 25.09.2018 13:30,10808,10636
25.09.2018 13:30 - 25.09.2018 13:45,10788,10715
25.09.2018 13:45 - 25.09.2018 14:00,10746,10602
25.09.2018 14:00 - 25.09.2018 14:15,10735,10529
25.09.2018 14:15 - 25.09.2018 14:30,10727,10588
25.09.2018 14:30 - 25.09.2018 14:45,10732,10559
25.09.2018 14:45 - 25.09.2018 15:00,10700,10593
25.09.2018 15:00 - 25.09.2018 15:15,10791,10552
25.09.2018 15:15 - 25.09.2018 15:30,10745,10469
25.09.2018 15:30 - 25.09.2018 15:45,10698,10399
25.09.2018 15:45 - 25.09.2018 16:00,10658,10387
25.09.2018 16:00 - 25.09.2018 16:15,10669,10349
25.09.2018 16:15 - 25.09.2018 16:30,10669,10381
25.09.2018 16:30 - 25.09.2018 16:45,10670,10467
25.09.2018 16:45 - 25.09.2018 17:00,10707,10585
25.09.2018 17:00 - 25.09.2018 17:15,10734,10533
25.09.2018 17:15 - 25.09.2018 17:30,10794,10644
25.09.2018 17:30 - 25.09.2018 17:45,10850,10719
25.09.2018 17:45 - 25.09.2018 18:00,10897,10747
25.09.2018 18:00 - 25.09.2018 18:15,10839,10774
25.09.2018 18:15 - 25.09.2018 18:30,10817,10788
25.09.2018 18:30 - 25.09.2018 18:45,10806,10747
25.09.2018 18:45 - 25.09.2018 19:00,10784,10628
25.09.2018 19:00 - 25.09.2018 19:15,10897,10619
25.09.2018 19:15 - 25.09.2018 19:30,10774,10557
25.09.2018 19:30 - 25.09.2018 19:45,10730,10677
25.09.2018 19:45 - 25.09.2018 20:00,10721,10924
25.09.2018 20:00 - 25.09.2018 20:15,10872,11052
25.09.2018 20:15 - 25.09.2018 20:30,10858,10962
25.09.2018 20:30 - 25.09.2018 20:45,10840,10829
25.09.2018 20:45 - 25.09.2018 21:00,10743,10663
25.09.2018 21:00 - 25.09.2018 21:15,10483,10495
25.09.2018 21:15 - 25.09.2018 21:30,10386,10344
25.09.2018 21:30 - 25.09.2018 21:45,10212,10248
25.09.2018 21:45 - 25.09.2018 22:00,10059,10059
25.09.2018 22:00 - 25.09.2018 22:15,9990,10089
25.09.2018 22:15 - 25.09.2018 22:30,9969,10115
25.09.2018 22:30 - 25.09.2018 22:45,9879,9991
25.09.2018 22:45 - 25.09.2018 23:00,9723,9824
25.09.2018 23:00 - 25.09.2018 23:15,9657,9675
25.09.2018 23:15 - 25.09.2018 23:30,9511,9498
25.09.2018 23:30 - 25.09.2018 23:45,9376,9409
25.09.2018 23:45 - 26.09.2018 00:00,9214,9150
26.09.2018 00:00 - 26.09.2018 00:15,8908,9083
26.09.2018 00:15 - 26.09.2018 00:30,8742,8873
26.09.2018 00:30 - 26.09.2018 00:45,8670,8797
26.09.2018 00:45 - 26.09.2018 01:00,8588,8672
26.09.2018 01:00 - 26.09.2018 01:15,8480,8737
26.09.2018 01:15 - 26.09.2018 01:30,8368,8640
26.09.2018 01:30 - 26.09.2018 01:45,8280,8515
26.09.2018 01:45 - 26.09.2018 02:00,8203,8581
26.09.2018 02:00 - 26.09.2018 02:15,8126,8529
26.09.2018 02:15 - 26.09.2018 02:30,8102,8556
26.09.2018 02:30 - 26.09.2018 02:45,8067,8374
26.09.2018 02:45 - 26.09.2018 03:00,8054,8387
26.09.2018 03:00 - 26.09.2018 03:15,8106,8328
26.09.2018 03:15 - 26.09.2018 03:30,8048,8285
26.09.2018 03:30 - 26.09.2018 03:45,8034,8128
26.09.2018 03:45 - 26.09.2018 04:00,8060,8130
26.09.2018 04:00 - 26.09.2018 04:15,8134,8172
26.09.2018 04:15 - 26.09.2018 04:30,8124,8264
26.09.2018 04:30 - 26.09.2018 04:45,8172,8290
26.09.2018 04:45 - 26.09.2018 05:00,8229,8470
26.09.2018 05:00 - 26.09.2018 05:15,8379,8577
26.09.2018 05:15 - 26.09.2018 05:30,8456,8635
26.09.2018 05:30 - 26.09.2018 05:45,8600,8677
26.09.2018 05:45 - 26.09.2018 06:00,8786,8922
26.09.2018 06:00 - 26.09.2018 06:15,9215,9266
26.09.2018 06:15 - 26.09.2018 06:30,9532,9622
26.09.2018 06:30 - 26.09.2018 06:45,9801,9947
26.09.2018 06:45 - 26.09.2018 07:00,10044,10272
26.09.2018 07:00 - 26.09.2018 07:15,10412,10576
26.09.2018 07:15 - 26.09.2018 07:30,10568,10702
26.09.2018 07:30 - 26.09.2018 07:45,10721,10854
26.09.2018 07:45 - 26.09.2018 08:00,10795,10865
26.09.2018 08:00 - 26.09.2018 08:15,10789,10855
26.09.2018 08:15 - 26.09.2018 08:30,10850,10903
26.09.2018 08:30 - 26.09.2018 08:45,10969,10920
26.09.2018 08:45 - 26.09.2018 09:00,11062,10938
26.09.2018 09:00 - 26.09.2018 09:15,11087,10924
26.09.2018 09:15 - 26.09.2018 09:30,11114,11009
26.09.2018 09:30 - 26.09.2018 09:45,11160,11050
26.09.2018 09:45 - 26.09.2018 10:00,11168,11041
26.09.2018 10:00 - 26.09.2018 10:15,11157,11027
26.09.2018 10:15 - 26.09.2018 10:30,11151,11081
26.09.2018 10:30 - 26.09.2018 10:45,11178,11120
26.09.2018 10:45 - 26.09.2018 11:00,11195,11123
26.09.2018 11:00 - 26.09.2018 11:15,11243,11074
26.09.2018 11:15 - 26.09.2018 11:30,11288,11057
26.09.2018 11:30 - 26.09.2018 11:45,11323,11183
26.09.2018 11:45 - 26.09.2018 12:00,11336,11114
26.09.2018 12:00 - 26.09.2018 12:15,11134,10943
26.09.2018 12:15 - 26.09.2018 12:30,10992,10769
26.09.2018 12:30 - 26.09.2018 12:45,10964,10825
26.09.2018 12:45 - 26.09.2018 13:00,10966,10853
26.09.2018 13:00 - 26.09.2018 13:15,10975,10837
26.09.2018 13:15 - 26.09.2018 13:30,10964,10742
26.09.2018 13:30 - 26.09.2018 13:45,10943,10749
26.09.2018 13:45 - 26.09.2018 14:00,10901,10695
26.09.2018 14:00 - 26.09.2018 14:15,10825,10679
26.09.2018 14:15 - 26.09.2018 14:30,10818,10633
26.09.2018 14:30 - 26.09.2018 14:45,10822,10679
26.09.2018 14:45 - 26.09.2018 15:00,10791,10590
26.09.2018 15:00 - 26.09.2018 15:15,10809,10540
26.09.2018 15:15 - 26.09.2018 15:30,10763,10626
26.09.2018 15:30 - 26.09.2018 15:45,10716,10570
26.09.2018 15:45 - 26.09.2018 16:00,10676,10589
26.09.2018 16:00 - 26.09.2018 16:15,10661,10608
26.09.2018 16:15 - 26.09.2018 16:30,10662,10623
26.09.2018 16:30 - 26.09.2018 16:45,10663,10631
26.09.2018 16:45 - 26.09.2018 17:00,10699,10672
26.09.2018 17:00 - 26.09.2018 17:15,10719,10635
26.09.2018 17:15 - 26.09.2018 17:30,10779,10655
26.09.2018 17:30 - 26.09.2018 17:45,10835,10746
26.09.2018 17:45 - 26.09.2018 18:00,10882,10746
26.09.2018 18:00 - 26.09.2018 18:15,10838,10821
26.09.2018 18:15 - 26.09.2018 18:30,10815,10834
26.09.2018 18:30 - 26.09.2018 18:45,10804,10899
26.09.2018 18:45 - 26.09.2018 19:00,10782,10879
26.09.2018 19:00 - 26.09.2018 19:15,10834,10838
26.09.2018 19:15 - 26.09.2018 19:30,10711,10782
26.09.2018 19:30 - 26.09.2018 19:45,10667,10928
26.09.2018 19:45 - 26.09.2018 20:00,10659,11086
26.09.2018 20:00 - 26.09.2018 20:15,10759,11165
26.09.2018 20:15 - 26.09.2018 20:30,10745,11006
26.09.2018 20:30 - 26.09.2018 20:45,10727,10885
26.09.2018 20:45 - 26.09.2018 21:00,10631,10715
26.09.2018 21:00 - 26.09.2018 21:15,10409,10617
26.09.2018 21:15 - 26.09.2018 21:30,10312,10454
26.09.2018 21:30 - 26.09.2018 21:45,10140,10278
26.09.2018 21:45 - 26.09.2018 22:00,9987,10074
26.09.2018 22:00 - 26.09.2018 22:15,9965,10090
26.09.2018 22:15 - 26.09.2018 22:30,9944,10018
26.09.2018 22:30 - 26.09.2018 22:45,9854,9988
26.09.2018 22:45 - 26.09.2018 23:00,9699,9966
26.09.2018 23:00 - 26.09.2018 23:15,9578,9921
26.09.2018 23:15 - 26.09.2018 23:30,9433,9746
26.09.2018 23:30 - 26.09.2018 23:45,9299,9499
26.09.2018 23:45 - 27.09.2018 00:00,9138,9428
27.09.2018 00:00 - 27.09.2018 00:15,8886,9204
27.09.2018 00:15 - 27.09.2018 00:30,8714,9077
27.09.2018 00:30 - 27.09.2018 00:45,8640,8895
27.09.2018 00:45 - 27.09.2018 01:00,8554,8824
27.09.2018 01:00 - 27.09.2018 01:15,8546,8803
27.09.2018 01:15 - 27.09.2018 01:30,8437,8621
27.09.2018 01:30 - 27.09.2018 01:45,8343,8492
27.09.2018 01:45 - 27.09.2018 02:00,8284,8511
27.09.2018 02:00 - 27.09.2018 02:15,8288,8401
27.09.2018 02:15 - 27.09.2018 02:30,8262,8366
27.09.2018 02:30 - 27.09.2018 02:45,8230,8309
27.09.2018 02:45 - 27.09.2018 03:00,8211,8341
27.09.2018 03:00 - 27.09.2018 03:15,8163,8284
27.09.2018 03:15 - 27.09.2018 03:30,8108,8218
27.09.2018 03:30 - 27.09.2018 03:45,8085,8174
27.09.2018 03:45 - 27.09.2018 04:00,8101,8358
27.09.2018 04:00 - 27.09.2018 04:15,8179,8374
27.09.2018 04:15 - 27.09.2018 04:30,8172,8284
27.09.2018 04:30 - 27.09.2018 04:45,8218,8257
27.09.2018 04:45 - 27.09.2018 05:00,8278,8371
27.09.2018 05:00 - 27.09.2018 05:15,8429,8594
27.09.2018 05:15 - 27.09.2018 05:30,8516,8643
27.09.2018 05:30 - 27.09.2018 05:45,8650,8737
27.09.2018 05:45 - 27.09.2018 06:00,8838,9003
27.09.2018 06:00 - 27.09.2018 06:15,9208,9383
27.09.2018 06:15 - 27.09.2018 06:30,9548,9578
27.09.2018 06:30 - 27.09.2018 06:45,9816,9817
27.09.2018 06:45 - 27.09.2018 07:00,10059,10185
27.09.2018 07:00 - 27.09.2018 07:15,10339,10591
27.09.2018 07:15 - 27.09.2018 07:30,10495,10650
27.09.2018 07:30 - 27.09.2018 07:45,10644,10782
27.09.2018 07:45 - 27.09.2018 08:00,10707,10836
27.09.2018 08:00 - 27.09.2018 08:15,10755,10783
27.09.2018 08:15 - 27.09.2018 08:30,10816,10825
27.09.2018 08:30 - 27.09.2018 08:45,10925,10963
27.09.2018 08:45 - 27.09.2018 09:00,11019,11064
27.09.2018 09:00 - 27.09.2018 09:15,11084,11002
27.09.2018 09:15 - 27.09.2018 09:30,11103,11078
27.09.2018 09:30 - 27.09.2018 09:45,11146,11075
27.09.2018 09:45 - 27.09.2018 10:00,11158,11050
27.09.2018 10:00 - 27.09.2018 10:15,11161,11018
27.09.2018 10:15 - 27.09.2018 10:30,11156,10992
27.09.2018 10:30 - 27.09.2018 10:45,11181,11074
27.09.2018 10:45 - 27.09.2018 11:00,11194,11126
27.09.2018 11:00 - 27.09.2018 11:15,11242,11129
27.09.2018 11:15 - 27.09.2018 11:30,11284,11196
27.09.2018 11:30 - 27.09.2018 11:45,11325,11059
27.09.2018 11:45 - 27.09.2018 12:00,11322,10996
27.09.2018 12:00 - 27.09.2018 12:15,11157,10848
27.09.2018 12:15 - 27.09.2018 12:30,11018,10737
27.09.2018 12:30 - 27.09.2018 12:45,10978,10692
27.09.2018 12:45 - 27.09.2018 13:00,10987,10680
27.09.2018 13:00 - 27.09.2018 13:15,11008,10712
27.09.2018 13:15 - 27.09.2018 13:30,10990,10614
27.09.2018 13:30 - 27.09.2018 13:45,10981,10561
27.09.2018 13:45 - 27.09.2018 14:00,10929,10498
27.09.2018 14:00 - 27.09.2018 14:15,10893,10456
27.09.2018 14:15 - 27.09.2018 14:30,10895,10379
27.09.2018 14:30 - 27.09.2018 14:45,10894,10436
27.09.2018 14:45 - 27.09.2018 15:00,10868,10433
27.09.2018 15:00 - 27.09.2018 15:15,10921,10458
27.09.2018 15:15 - 27.09.2018 15:30,10868,10421
27.09.2018 15:30 - 27.09.2018 15:45,10816,10416
27.09.2018 15:45 - 27.09.2018 16:00,10779,10420
27.09.2018 16:00 - 27.09.2018 16:15,10758,10369
27.09.2018 16:15 - 27.09.2018 16:30,10763,10323
27.09.2018 16:30 - 27.09.2018 16:45,10773,10329
27.09.2018 16:45 - 27.09.2018 17:00,10822,10415
27.09.2018 17:00 - 27.09.2018 17:15,10808,10523
27.09.2018 17:15 - 27.09.2018 17:30,10875,10646
27.09.2018 17:30 - 27.09.2018 17:45,10934,10614
27.09.2018 17:45 - 27.09.2018 18:00,10980,10575
27.09.2018 18:00 - 27.09.2018 18:15,10900,10606
27.09.2018 18:15 - 27.09.2018 18:30,10881,10677
27.09.2018 18:30 - 27.09.2018 18:45,10867,10674
27.09.2018 18:45 - 27.09.2018 19:00,10834,10629
27.09.2018 19:00 - 27.09.2018 19:15,10836,10582
27.09.2018 19:15 - 27.09.2018 19:30,10722,10562
27.09.2018 19:30 - 27.09.2018 19:45,10699,10767
27.09.2018 19:45 - 27.09.2018 20:00,10722,11001
27.09.2018 20:00 - 27.09.2018 20:15,10683,11120
27.09.2018 20:15 - 27.09.2018 20:30,10656,10997
27.09.2018 20:30 - 27.09.2018 20:45,10623,10854
27.09.2018 20:45 - 27.09.2018 21:00,10515,10619
27.09.2018 21:00 - 27.09.2018 21:15,10295,10495
27.09.2018 21:15 - 27.09.2018 21:30,10194,10405
27.09.2018 21:30 - 27.09.2018 21:45,10033,10238
27.09.2018 21:45 - 27.09.2018 22:00,9878,10039
27.09.2018 22:00 - 27.09.2018 22:15,9883,10065
27.09.2018 22:15 - 27.09.2018 22:30,9866,10121
27.09.2018 22:30 - 27.09.2018 22:45,9775,10040
27.09.2018 22:45 - 27.09.2018 23:00,9620,9874
27.09.2018 23:00 - 27.09.2018 23:15,9513,9719
27.09.2018 23:15 - 27.09.2018 23:30,9364,9626
27.09.2018 23:30 - 27.09.2018 23:45,9237,9423
27.09.2018 23:45 - 28.09.2018 00:00,9068,9253
28.09.2018 00:00 - 28.09.2018 00:15,8871,9093
28.09.2018 00:15 - 28.09.2018 00:30,8706,9007
28.09.2018 00:30 - 28.09.2018 00:45,8616,8942
28.09.2018 00:45 - 28.09.2018 01:00,8531,8765
28.09.2018 01:00 - 28.09.2018 01:15,8502,8603
28.09.2018 01:15 - 28.09.2018 01:30,8384,8405
28.09.2018 01:30 - 28.09.2018 01:45,8285,8293
28.09.2018 01:45 - 28.09.2018 02:00,8240,8418
28.09.2018 02:00 - 28.09.2018 02:15,8175,8414
28.09.2018 02:15 - 28.09.2018 02:30,8156,8415
28.09.2018 02:30 - 28.09.2018 02:45,8106,8369
28.09.2018 02:45 - 28.09.2018 03:00,8088,8318
28.09.2018 03:00 - 28.09.2018 03:15,8081,8298
28.09.2018 03:15 - 28.09.2018 03:30,8028,8228
28.09.2018 03:30 - 28.09.2018 03:45,7989,8276
28.09.2018 03:45 - 28.09.2018 04:00,8002,8222
28.09.2018 04:00 - 28.09.2018 04:15,8018,8208
28.09.2018 04:15 - 28.09.2018 04:30,8022,8107
28.09.2018 04:30 - 28.09.2018 04:45,8066,8113
28.09.2018 04:45 - 28.09.2018 05:00,8139,8321
28.09.2018 05:00 - 28.09.2018 05:15,8334,8411
28.09.2018 05:15 - 28.09.2018 05:30,8418,8506
28.09.2018 05:30 - 28.09.2018 05:45,8539,8685
28.09.2018 05:45 - 28.09.2018 06:00,8731,8855
28.09.2018 06:00 - 28.09.2018 06:15,9027,9143
28.09.2018 06:15 - 28.09.2018 06:30,9362,9385
28.09.2018 06:30 - 28.09.2018 06:45,9630,9637
28.09.2018 06:45 - 28.09.2018 07:00,9876,10063
28.09.2018 07:00 - 28.09.2018 07:15,10350,10442
28.09.2018 07:15 - 28.09.2018 07:30,10504,10704
28.09.2018 07:30 - 28.09.2018 07:45,10657,10667
28.09.2018 07:45 - 28.09.2018 08:00,10713,10737
28.09.2018 08:00 - 28.09.2018 08:15,10762,10743
28.09.2018 08:15 - 28.09.2018 08:30,10823,10889
28.09.2018 08:30 - 28.09.2018 08:45,10924,10903
28.09.2018 08:45 - 28.09.2018 09:00,11010,10903
28.09.2018 09:00 - 28.09.2018 09:15,11090,11012
28.09.2018 09:15 - 28.09.2018 09:30,11118,11070
28.09.2018 09:30 - 28.09.2018 09:45,11160,11168
28.09.2018 09:45 - 28.09.2018 10:00,11171,11238
28.09.2018 10:00 - 28.09.2018 10:15,11137,11098
28.09.2018 10:15 - 28.09.2018 10:30,11141,10951
28.09.2018 10:30 - 28.09.2018 10:45,11167,10965
28.09.2018 10:45 - 28.09.2018 11:00,11180,11027
28.09.2018 11:00 - 28.09.2018 11:15,11171,11010
28.09.2018 11:15 - 28.09.2018 11:30,11208,11150
28.09.2018 11:30 - 28.09.2018 11:45,11258,11160
28.09.2018 11:45 - 28.09.2018 12:00,11249,11199
28.09.2018 12:00 - 28.09.2018 12:15,10984,11050
28.09.2018 12:15 - 28.09.2018 12:30,10845,10916
28.09.2018 12:30 - 28.09.2018 12:45,10814,10935
28.09.2018 12:45 - 28.09.2018 13:00,10823,11028
28.09.2018 13:00 - 28.09.2018 13:15,10857,11003
28.09.2018 13:15 - 28.09.2018 13:30,10832,11066
28.09.2018 13:30 - 28.09.2018 13:45,10823,11010
28.09.2018 13:45 - 28.09.2018 14:00,10772,10797
28.09.2018 14:00 - 28.09.2018 14:15,10645,10565
28.09.2018 14:15 - 28.09.2018 14:30,10638,10614
28.09.2018 14:30 - 28.09.2018 14:45,10641,10704
28.09.2018 14:45 - 28.09.2018 15:00,10607,10643
28.09.2018 15:00 - 28.09.2018 15:15,10534,10456
28.09.2018 15:15 - 28.09.2018 15:30,10497,10423
28.09.2018 15:30 - 28.09.2018 15:45,10445,10359
28.09.2018 15:45 - 28.09.2018 16:00,10415,10436
28.09.2018 16:00 - 28.09.2018 16:15,10379,10379
28.09.2018 16:15 - 28.09.2018 16:30,10385,10263
28.09.2018 16:30 - 28.09.2018 16:45,10394,10271
28.09.2018 16:45 - 28.09.2018 17:00,10444,10418
28.09.2018 17:00 - 28.09.2018 17:15,10322,10318
28.09.2018 17:15 - 28.09.2018 17:30,10381,10259
28.09.2018 17:30 - 28.09.2018 17:45,10439,10401
28.09.2018 17:45 - 28.09.2018 18:00,10477,10450
28.09.2018 18:00 - 28.09.2018 18:15,10330,10388
28.09.2018 18:15 - 28.09.2018 18:30,10317,10432
28.09.2018 18:30 - 28.09.2018 18:45,10313,10343
28.09.2018 18:45 - 28.09.2018 19:00,10282,10363
28.09.2018 19:00 - 28.09.2018 19:15,10236,10263
28.09.2018 19:15 - 28.09.2018 19:30,10132,10161
28.09.2018 19:30 - 28.09.2018 19:45,10128,10110
28.09.2018 19:45 - 28.09.2018 20:00,10165,10294
28.09.2018 20:00 - 28.09.2018 20:15,10260,10348
28.09.2018 20:15 - 28.09.2018 20:30,10219,10341
28.09.2018 20:30 - 28.09.2018 20:45,10176,10341
28.09.2018 20:45 - 28.09.2018 21:00,10067,10008
28.09.2018 21:00 - 28.09.2018 21:15,9912,9838
28.09.2018 21:15 - 28.09.2018 21:30,9808,9913
28.09.2018 21:30 - 28.09.2018 21:45,9651,9904
28.09.2018 21:45 - 28.09.2018 22:00,9494,9770
28.09.2018 22:00 - 28.09.2018 22:15,9594,9794
28.09.2018 22:15 - 28.09.2018 22:30,9572,9737
28.09.2018 22:30 - 28.09.2018 22:45,9489,9637
28.09.2018 22:45 - 28.09.2018 23:00,9355,9597
28.09.2018 23:00 - 28.09.2018 23:15,9329,9385
28.09.2018 23:15 - 28.09.2018 23:30,9178,9238
28.09.2018 23:30 - 28.09.2018 23:45,9038,9109
28.09.2018 23:45 - 29.09.2018 00:00,8886,9082
29.09.2018 00:00 - 29.09.2018 00:15,8690,8979
29.09.2018 00:15 - 29.09.2018 00:30,8539,8687
29.09.2018 00:30 - 29.09.2018 00:45,8452,8558
29.09.2018 00:45 - 29.09.2018 01:00,8353,8399
29.09.2018 01:00 - 29.09.2018 01:15,8246,8289
29.09.2018 01:15 - 29.09.2018 01:30,8119,8279
29.09.2018 01:30 - 29.09.2018 01:45,8024,8141
29.09.2018 01:45 - 29.09.2018 02:00,7999,8037
29.09.2018 02:00 - 29.09.2018 02:15,7944,8016
29.09.2018 02:15 - 29.09.2018 02:30,7919,7890
29.09.2018 02:30 - 29.09.2018 02:45,7884,7833
29.09.2018 02:45 - 29.09.2018 03:00,7849,7850
29.09.2018 03:00 - 29.09.2018 03:15,7828,7945
29.09.2018 03:15 - 29.09.2018 03:30,7852,7856
29.09.2018 03:30 - 29.09.2018 03:45,7744,7820
29.09.2018 03:45 - 29.09.2018 04:00,7704,7701
29.09.2018 04:00 - 29.09.2018 04:15,7721,7745
29.09.2018 04:15 - 29.09.2018 04:30,7641,7785
29.09.2018 04:30 - 29.09.2018 04:45,7695,7807
29.09.2018 04:45 - 29.09.2018 05:00,7658,7666
29.09.2018 05:00 - 29.09.2018 05:15,7730,7797
29.09.2018 05:15 - 29.09.2018 05:30,7718,7726
29.09.2018 05:30 - 29.09.2018 05:45,7787,7774
29.09.2018 05:45 - 29.09.2018 06:00,7776,7822
29.09.2018 06:00 - 29.09.2018 06:15,7969,7993
29.09.2018 06:15 - 29.09.2018 06:30,8124,8097
29.09.2018 06:30 - 29.09.2018 06:45,8117,8206
29.09.2018 06:45 - 29.09.2018 07:00,8160,8285
29.09.2018 07:00 - 29.09.2018 07:15,8339,8588
29.09.2018 07:15 - 29.09.2018 07:30,8442,8627
29.09.2018 07:30 - 29.09.2018 07:45,8530,8670
29.09.2018 07:45 - 29.09.2018 08:00,8643,8763
29.09.2018 08:00 - 29.09.2018 08:15,8745,8931
29.09.2018 08:15 - 29.09.2018 08:30,8957,9102
29.09.2018 08:30 - 29.09.2018 08:45,9114,9168
29.09.2018 08:45 - 29.09.2018 09:00,9257,9329
29.09.2018 09:00 - 29.09.2018 09:15,9389,9473
29.09.2018 09:15 - 29.09.2018 09:30,9520,9374
29.09.2018 09:30 - 29.09.2018 09:45,9572,9547
29.09.2018 09:45 - 29.09.2018 10:00,9638,9674
29.09.2018 10:00 - 29.09.2018 10:15,9635,9641
29.09.2018 10:15 - 29.09.2018 10:30,9658,9520
29.09.2018 10:30 - 29.09.2018 10:45,9629,9605
29.09.2018 10:45 - 29.09.2018 11:00,9596,9523
29.09.2018 11:00 - 29.09.2018 11:15,9634,9518
29.09.2018 11:15 - 29.09.2018 11:30,9706,9503
29.09.2018 11:30 - 29.09.2018 11:45,9737,9566
29.09.2018 11:45 - 29.09.2018 12:00,9787,9628
29.09.2018 12:00 - 29.09.2018 12:15,9758,9488
29.09.2018 12:15 - 29.09.2018 12:30,9718,9386
29.09.2018 12:30 - 29.09.2018 12:45,9636,9437
29.09.2018 12:45 - 29.09.2018 13:00,9607,9337
29.09.2018 13:00 - 29.09.2018 13:15,9519,9339
29.09.2018 13:15 - 29.09.2018 13:30,9429,9293
29.09.2018 13:30 - 29.09.2018 13:45,9454,9161
29.09.2018 13:45 - 29.09.2018 14:00,9391,9139
29.09.2018 14:00 - 29.09.2018 14:15,9321,8984
29.09.2018 14:15 - 29.09.2018 14:30,9272,8889
29.09.2018 14:30 - 29.09.2018 14:45,9163,9019
29.09.2018 14:45 - 29.09.2018 15:00,9200,9002
29.09.2018 15:00 - 29.09.2018 15:15,9198,8962
29.09.2018 15:15 - 29.09.2018 15:30,9189,8994
29.09.2018 15:30 - 29.09.2018 15:45,9175,8867
29.09.2018 15:45 - 29.09.2018 16:00,9154,8868
29.09.2018 16:00 - 29.09.2018 16:15,9103,8805
29.09.2018 16:15 - 29.09.2018 16:30,9083,8808
29.09.2018 16:30 - 29.09.2018 16:45,9082,8810
29.09.2018 16:45 - 29.09.2018 17:00,9176,8921
29.09.2018 17:00 - 29.09.2018 17:15,9186,8950
29.09.2018 17:15 - 29.09.2018 17:30,9227,9094
29.09.2018 17:30 - 29.09.2018 17:45,9305,9232
29.09.2018 17:45 - 29.09.2018 18:00,9387,9290
29.09.2018 18:00 - 29.09.2018 18:15,9349,9245
29.09.2018 18:15 - 29.09.2018 18:30,9372,9367
29.09.2018 18:30 - 29.09.2018 18:45,9374,9388
29.09.2018 18:45 - 29.09.2018 19:00,9374,9509
29.09.2018 19:00 - 29.09.2018 19:15,9473,9500
29.09.2018 19:15 - 29.09.2018 19:30,9421,9562
29.09.2018 19:30 - 29.09.2018 19:45,9467,9746
29.09.2018 19:45 - 29.09.2018 20:00,9508,9873
29.09.2018 20:00 - 29.09.2018 20:15,9575,9853
29.09.2018 20:15 - 29.09.2018 20:30,9614,9730
29.09.2018 20:30 - 29.09.2018 20:45,9590,9687
29.09.2018 20:45 - 29.09.2018 21:00,9494,9637
29.09.2018 21:00 - 29.09.2018 21:15,9302,9502
29.09.2018 21:15 - 29.09.2018 21:30,9263,9355
29.09.2018 21:30 - 29.09.2018 21:45,9152,9254
29.09.2018 21:45 - 29.09.2018 22:00,9020,9124
29.09.2018 22:00 - 29.09.2018 22:15,8992,9144
29.09.2018 22:15 - 29.09.2018 22:30,8979,9266
29.09.2018 22:30 - 29.09.2018 22:45,8967,9175
29.09.2018 22:45 - 29.09.2018 23:00,8892,9190
29.09.2018 23:00 - 29.09.2018 23:15,8848,9088
29.09.2018 23:15 - 29.09.2018 23:30,8706,8939
29.09.2018 23:30 - 29.09.2018 23:45,8519,8889
29.09.2018 23:45 - 30.09.2018 00:00,8419,8798
30.09.2018 00:00 - 30.09.2018 00:15,8176,8571
30.09.2018 00:15 - 30.09.2018 00:30,8088,8385
30.09.2018 00:30 - 30.09.2018 00:45,8023,8452
30.09.2018 00:45 - 30.09.2018 01:00,7984,8291
30.09.2018 01:00 - 30.09.2018 01:15,7815,8169
30.09.2018 01:15 - 30.09.2018 01:30,7635,8084
30.09.2018 01:30 - 30.09.2018 01:45,7600,8090
30.09.2018 01:45 - 30.09.2018 02:00,7544,8008
30.09.2018 02:00 - 30.09.2018 02:15,7548,7943
30.09.2018 02:15 - 30.09.2018 02:30,7539,7735
30.09.2018 02:30 - 30.09.2018 02:45,7462,7683
30.09.2018 02:45 - 30.09.2018 03:00,7394,7695
30.09.2018 03:00 - 30.09.2018 03:15,7460,7650
30.09.2018 03:15 - 30.09.2018 03:30,7382,7643
30.09.2018 03:30 - 30.09.2018 03:45,7388,7618
30.09.2018 03:45 - 30.09.2018 04:00,7325,7622
30.09.2018 04:00 - 30.09.2018 04:15,7385,7616
30.09.2018 04:15 - 30.09.2018 04:30,7404,7595
30.09.2018 04:30 - 30.09.2018 04:45,7402,7624
30.09.2018 04:45 - 30.09.2018 05:00,7360,7640
30.09.2018 05:00 - 30.09.2018 05:15,7400,7619
30.09.2018 05:15 - 30.09.2018 05:30,7469,7771
30.09.2018 05:30 - 30.09.2018 05:45,7510,7821
30.09.2018 05:45 - 30.09.2018 06:00,7589,7720
30.09.2018 06:00 - 30.09.2018 06:15,7668,7774
30.09.2018 06:15 - 30.09.2018 06:30,7745,7877
30.09.2018 06:30 - 30.09.2018 06:45,7797,7923
30.09.2018 06:45 - 30.09.2018 07:00,7828,7983
30.09.2018 07:00 - 30.09.2018 07:15,7861,8201
30.09.2018 07:15 - 30.09.2018 07:30,7944,8184
30.09.2018 07:30 - 30.09.2018 07:45,7972,8101
30.09.2018 07:45 - 30.09.2018 08:00,8054,8260
