Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
04.01.2018 13:15 - 04.01.2018 13:30,9451,9124
04.01.2018 13:30 - 04.01.2018 13:45,9421,9106
04.01.2018 13:45 - 04.01.2018 14:00,9381,9082
04.01.2018 14:00 - 04.01.2018 14:15,9402,9050
04.01.2018 14:15 - 04.01.2018 14:30,9407,9028
04.01.2018 14:30 - 04.01.2018 14:45,9405,8987
04.01.2018 14:45 - 04.01.2018 15:00,9411,8972
04.01.2018 15:00 - 04.01.2018 15:15,9437,9047
04.01.2018 15:15 - 04.01.2018 15:30,9460,9049
04.01.2018 15:30 - 04.01.2018 15:45,9494,9050
04.01.2018 15:45 - 04.01.2018 16:00,9542,9062
04.01.2018 16:00 - 04.01.2018 16:15,9622,9138
04.01.2018 16:15 - 04.01.2018 16:30,9742,9305
04.01.2018 16:30 - 04.01.2018 16:45,9867,9399
04.01.2018 16:45 - 04.01.2018 17:00,9956,9429
04.01.2018 17:00 - 04.01.2018 17:15,9994,9430
04.01.2018 17:15 - 04.01.2018 17:30,10022,9428
04.01.2018 17:30 - 04.01.2018 17:45,10026,9514
04.01.2018 17:45 - 04.01.2018 18:00,10000,9507
04.01.2018 18:00 - 04.01.2018 18:15,9918,9411
04.01.2018 18:15 - 04.01.2018 18:30,9838,9350
04.01.2018 18:30 - 04.01.2018 18:45,9777,9334
04.01.2018 18:45 - 04.01.2018 19:00,9700,9255
04.01.2018 19:00 - 04.01.2018 19:15,9513,8940
04.01.2018 19:15 - 04.01.2018 19:30,9366,8838
04.01.2018 19:30 - 04.01.2018 19:45,9242,8721
04.01.2018 19:45 - 04.01.2018 20:00,9116,8559
04.01.2018 20:00 - 04.01.2018 20:15,8963,8402
04.01.2018 20:15 - 04.01.2018 20:30,8802,8215
04.01.2018 20:30 - 04.01.2018 20:45,8673,8060
04.01.2018 20:45 - 04.01.2018 21:00,8526,7950
04.01.2018 21:00 - 04.01.2018 21:15,8382,7825
04.01.2018 21:15 - 04.01.2018 21:30,8220,7667
04.01.2018 21:30 - 04.01.2018 21:45,8083,7532
04.01.2018 21:45 - 04.01.2018 22:00,7973,7447
04.01.2018 22:00 - 04.01.2018 22:15,8143,7658
04.01.2018 22:15 - 04.01.2018 22:30,8083,7609
04.01.2018 22:30 - 04.01.2018 22:45,7918,7441
04.01.2018 22:45 - 04.01.2018 23:00,7782,7384
04.01.2018 23:00 - 04.01.2018 23:15,7703,7266
04.01.2018 23:15 - 04.01.2018 23:30,7525,7128
04.01.2018 23:30 - 04.01.2018 23:45,7387,6996
04.01.2018 23:45 - 05.01.2018 00:00,7265,6920
05.01.2018 00:00 - 05.01.2018 00:15,7090,6847
05.01.2018 00:15 - 05.01.2018 00:30,6971,6724
05.01.2018 00:30 - 05.01.2018 00:45,6883,6616
05.01.2018 00:45 - 05.01.2018 01:00,6770,6494
05.01.2018 01:00 - 05.01.2018 01:15,6765,6452
05.01.2018 01:15 - 05.01.2018 01:30,6681,6361
05.01.2018 01:30 - 05.01.2018 01:45,6606,6245
05.01.2018 01:45 - 05.01.2018 02:00,6543,6211
05.01.2018 02:00 - 05.01.2018 02:15,6606,6251
05.01.2018 02:15 - 05.01.2018 02:30,6544,6166
05.01.2018 02:30 - 05.01.2018 02:45,6464,6099
05.01.2018 02:45 - 05.01.2018 03:00,6418,6060
05.01.2018 03:00 - 05.01.2018 03:15,6393,6067
05.01.2018 03:15 - 05.01.2018 03:30,6366,6057
05.01.2018 03:30 - 05.01.2018 03:45,6353,5997
05.01.2018 03:45 - 05.01.2018 04:00,6360,5990
05.01.2018 04:00 - 05.01.2018 04:15,6397,5991
05.01.2018 04:15 - 05.01.2018 04:30,6443,6037
05.01.2018 04:30 - 05.01.2018 04:45,6535,6068
05.01.2018 04:45 - 05.01.2018 05:00,6641,6215
05.01.2018 05:00 - 05.01.2018 05:15,6845,6356
05.01.2018 05:15 - 05.01.2018 05:30,7067,6463
05.01.2018 05:30 - 05.01.2018 05:45,7297,6655
05.01.2018 05:45 - 05.01.2018 06:00,7544,6821
05.01.2018 06:00 - 05.01.2018 06:15,7871,7048
05.01.2018 06:15 - 05.01.2018 06:30,8217,7304
05.01.2018 06:30 - 05.01.2018 06:45,8512,7523
05.01.2018 06:45 - 05.01.2018 07:00,8768,7661
05.01.2018 07:00 - 05.01.2018 07:15,9084,8021
05.01.2018 07:15 - 05.01.2018 07:30,9235,8186
05.01.2018 07:30 - 05.01.2018 07:45,9336,8336
05.01.2018 07:45 - 05.01.2018 08:00,9403,8451
05.01.2018 08:00 - 05.01.2018 08:15,9470,8570
05.01.2018 08:15 - 05.01.2018 08:30,9497,8611
05.01.2018 08:30 - 05.01.2018 08:45,9524,8686
05.01.2018 08:45 - 05.01.2018 09:00,9534,8722
05.01.2018 09:00 - 05.01.2018 09:15,9506,8740
05.01.2018 09:15 - 05.01.2018 09:30,9509,8796
05.01.2018 09:30 - 05.01.2018 09:45,9525,8840
05.01.2018 09:45 - 05.01.2018 10:00,9518,8821
05.01.2018 10:00 - 05.01.2018 10:15,9501,8818
05.01.2018 10:15 - 05.01.2018 10:30,9507,8831
05.01.2018 10:30 - 05.01.2018 10:45,9498,8818
05.01.2018 10:45 - 05.01.2018 11:00,9496,8815
05.01.2018 11:00 - 05.01.2018 11:15,9456,8772
05.01.2018 11:15 - 05.01.2018 11:30,9449,8798
05.01.2018 11:30 - 05.01.2018 11:45,9410,8808
