Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
21.09.2018 19:30 - 21.09.2018 19:45,7503,8007
21.09.2018 19:45 - 21.09.2018 20:00,7469,7867
21.09.2018 20:00 - 21.09.2018 20:15,7374,7747
21.09.2018 20:15 - 21.09.2018 20:30,7254,7609
21.09.2018 20:30 - 21.09.2018 20:45,7119,7440
21.09.2018 20:45 - 21.09.2018 21:00,6982,7308
21.09.2018 21:00 - 21.09.2018 21:15,6826,7060
21.09.2018 21:15 - 21.09.2018 21:30,6697,6946
21.09.2018 21:30 - 21.09.2018 21:45,6567,6850
21.09.2018 21:45 - 21.09.2018 22:00,6436,6707
21.09.2018 22:00 - 21.09.2018 22:15,6498,6726
21.09.2018 22:15 - 21.09.2018 22:30,6438,6700
21.09.2018 22:30 - 21.09.2018 22:45,6284,6626
21.09.2018 22:45 - 21.09.2018 23:00,6155,6503
21.09.2018 23:00 - 21.09.2018 23:15,6057,6414
21.09.2018 23:15 - 21.09.2018 23:30,5906,6264
21.09.2018 23:30 - 21.09.2018 23:45,5777,6141
21.09.2018 23:45 - 22.09.2018 00:00,5683,6070
22.09.2018 00:00 - 22.09.2018 00:15,5737,6094
22.09.2018 00:15 - 22.09.2018 00:30,5626,6020
22.09.2018 00:30 - 22.09.2018 00:45,5513,5966
22.09.2018 00:45 - 22.09.2018 01:00,5417,5902
22.09.2018 01:00 - 22.09.2018 01:15,5360,5698
22.09.2018 01:15 - 22.09.2018 01:30,5284,5505
22.09.2018 01:30 - 22.09.2018 01:45,5215,5493
22.09.2018 01:45 - 22.09.2018 02:00,5147,5430
22.09.2018 02:00 - 22.09.2018 02:15,5210,5506
22.09.2018 02:15 - 22.09.2018 02:30,5159,5460
22.09.2018 02:30 - 22.09.2018 02:45,5089,5503
22.09.2018 02:45 - 22.09.2018 03:00,5020,5568
22.09.2018 03:00 - 22.09.2018 03:15,5000,5506
22.09.2018 03:15 - 22.09.2018 03:30,4963,5446
22.09.2018 03:30 - 22.09.2018 03:45,4924,5356
22.09.2018 03:45 - 22.09.2018 04:00,4914,5326
22.09.2018 04:00 - 22.09.2018 04:15,4935,5274
22.09.2018 04:15 - 22.09.2018 04:30,4935,5238
22.09.2018 04:30 - 22.09.2018 04:45,4944,5219
22.09.2018 04:45 - 22.09.2018 05:00,4986,5244
22.09.2018 05:00 - 22.09.2018 05:15,5073,5400
22.09.2018 05:15 - 22.09.2018 05:30,5125,5473
22.09.2018 05:30 - 22.09.2018 05:45,5203,5508
22.09.2018 05:45 - 22.09.2018 06:00,5285,5614
22.09.2018 06:00 - 22.09.2018 06:15,5409,5814
22.09.2018 06:15 - 22.09.2018 06:30,5526,5949
22.09.2018 06:30 - 22.09.2018 06:45,5601,6010
22.09.2018 06:45 - 22.09.2018 07:00,5708,6084
22.09.2018 07:00 - 22.09.2018 07:15,5922,6318
22.09.2018 07:15 - 22.09.2018 07:30,6003,6409
22.09.2018 07:30 - 22.09.2018 07:45,6114,6529
22.09.2018 07:45 - 22.09.2018 08:00,6225,6587
22.09.2018 08:00 - 22.09.2018 08:15,6362,6733
22.09.2018 08:15 - 22.09.2018 08:30,6449,6821
22.09.2018 08:30 - 22.09.2018 08:45,6537,6928
22.09.2018 08:45 - 22.09.2018 09:00,6611,6955
22.09.2018 09:00 - 22.09.2018 09:15,6692,7073
22.09.2018 09:15 - 22.09.2018 09:30,6728,7123
22.09.2018 09:30 - 22.09.2018 09:45,6750,7190
22.09.2018 09:45 - 22.09.2018 10:00,6770,7196
22.09.2018 10:00 - 22.09.2018 10:15,6792,7208
22.09.2018 10:15 - 22.09.2018 10:30,6807,7242
22.09.2018 10:30 - 22.09.2018 10:45,6822,7259
22.09.2018 10:45 - 22.09.2018 11:00,6836,7299
22.09.2018 11:00 - 22.09.2018 11:15,6865,7339
22.09.2018 11:15 - 22.09.2018 11:30,6887,7399
22.09.2018 11:30 - 22.09.2018 11:45,6884,7396
22.09.2018 11:45 - 22.09.2018 12:00,6832,7282
22.09.2018 12:00 - 22.09.2018 12:15,6767,7218
22.09.2018 12:15 - 22.09.2018 12:30,6653,7088
22.09.2018 12:30 - 22.09.2018 12:45,6579,6972
22.09.2018 12:45 - 22.09.2018 13:00,6522,6961
22.09.2018 13:00 - 22.09.2018 13:15,6483,6946
22.09.2018 13:15 - 22.09.2018 13:30,6427,6901
22.09.2018 13:30 - 22.09.2018 13:45,6382,6797
22.09.2018 13:45 - 22.09.2018 14:00,6331,6715
22.09.2018 14:00 - 22.09.2018 14:15,6302,6601
22.09.2018 14:15 - 22.09.2018 14:30,6265,6546
22.09.2018 14:30 - 22.09.2018 14:45,6271,6572
22.09.2018 14:45 - 22.09.2018 15:00,6247,6504
22.09.2018 15:00 - 22.09.2018 15:15,6269,6482
22.09.2018 15:15 - 22.09.2018 15:30,6250,6420
22.09.2018 15:30 - 22.09.2018 15:45,6252,6394
22.09.2018 15:45 - 22.09.2018 16:00,6255,6404
22.09.2018 16:00 - 22.09.2018 16:15,6262,6378
22.09.2018 16:15 - 22.09.2018 16:30,6251,6391
22.09.2018 16:30 - 22.09.2018 16:45,6282,6439
22.09.2018 16:45 - 22.09.2018 17:00,6320,6472
22.09.2018 17:00 - 22.09.2018 17:15,6347,6514
22.09.2018 17:15 - 22.09.2018 17:30,6375,6560
22.09.2018 17:30 - 22.09.2018 17:45,6423,6572
22.09.2018 17:45 - 22.09.2018 18:00,6459,6632
22.09.2018 18:00 - 22.09.2018 18:15,6486,6665
22.09.2018 18:15 - 22.09.2018 18:30,6451,6621
22.09.2018 18:30 - 22.09.2018 18:45,6444,6748
22.09.2018 18:45 - 22.09.2018 19:00,6452,6803
22.09.2018 19:00 - 22.09.2018 19:15,6376,6772
22.09.2018 19:15 - 22.09.2018 19:30,6401,6782
22.09.2018 19:30 - 22.09.2018 19:45,6433,6815
22.09.2018 19:45 - 22.09.2018 20:00,6434,6696
22.09.2018 20:00 - 22.09.2018 20:15,6404,6586
22.09.2018 20:15 - 22.09.2018 20:30,6330,6476
22.09.2018 20:30 - 22.09.2018 20:45,6240,6368
22.09.2018 20:45 - 22.09.2018 21:00,6148,6232
22.09.2018 21:00 - 22.09.2018 21:15,6018,6089
22.09.2018 21:15 - 22.09.2018 21:30,5915,5953
22.09.2018 21:30 - 22.09.2018 21:45,5824,5874
22.09.2018 21:45 - 22.09.2018 22:00,5742,5814
22.09.2018 22:00 - 22.09.2018 22:15,5889,5945
22.09.2018 22:15 - 22.09.2018 22:30,5837,5883
22.09.2018 22:30 - 22.09.2018 22:45,5694,5736
22.09.2018 22:45 - 22.09.2018 23:00,5578,5595
22.09.2018 23:00 - 22.09.2018 23:15,5520,5562
22.09.2018 23:15 - 22.09.2018 23:30,5388,5469
22.09.2018 23:30 - 22.09.2018 23:45,5272,5374
22.09.2018 23:45 - 23.09.2018 00:00,5186,5304
23.09.2018 00:00 - 23.09.2018 00:15,5198,5349
23.09.2018 00:15 - 23.09.2018 00:30,5081,5248
23.09.2018 00:30 - 23.09.2018 00:45,4972,5140
23.09.2018 00:45 - 23.09.2018 01:00,4874,5069
23.09.2018 01:00 - 23.09.2018 01:15,4843,5007
23.09.2018 01:15 - 23.09.2018 01:30,4750,4939
23.09.2018 01:30 - 23.09.2018 01:45,4674,4840
23.09.2018 01:45 - 23.09.2018 02:00,4621,4782
23.09.2018 02:00 - 23.09.2018 02:15,4701,4850
23.09.2018 02:15 - 23.09.2018 02:30,4646,4810
23.09.2018 02:30 - 23.09.2018 02:45,4590,4753
23.09.2018 02:45 - 23.09.2018 03:00,4524,4660
23.09.2018 03:00 - 23.09.2018 03:15,4484,4654
23.09.2018 03:15 - 23.09.2018 03:30,4446,4619
23.09.2018 03:30 - 23.09.2018 03:45,4416,4564
23.09.2018 03:45 - 23.09.2018 04:00,4395,4555
23.09.2018 04:00 - 23.09.2018 04:15,4399,4573
23.09.2018 04:15 - 23.09.2018 04:30,4393,4594
23.09.2018 04:30 - 23.09.2018 04:45,4400,4582
23.09.2018 04:45 - 23.09.2018 05:00,4419,4604
23.09.2018 05:00 - 23.09.2018 05:15,4478,4668
23.09.2018 05:15 - 23.09.2018 05:30,4511,4699
23.09.2018 05:30 - 23.09.2018 05:45,4547,4728
23.09.2018 05:45 - 23.09.2018 06:00,4588,4788
23.09.2018 06:00 - 23.09.2018 06:15,4646,4876
23.09.2018 06:15 - 23.09.2018 06:30,4686,4943
23.09.2018 06:30 - 23.09.2018 06:45,4737,5030
23.09.2018 06:45 - 23.09.2018 07:00,4798,5115
23.09.2018 07:00 - 23.09.2018 07:15,4978,5346
23.09.2018 07:15 - 23.09.2018 07:30,5055,5405
23.09.2018 07:30 - 23.09.2018 07:45,5130,5417
23.09.2018 07:45 - 23.09.2018 08:00,5209,5491
23.09.2018 08:00 - 23.09.2018 08:15,5312,5609
23.09.2018 08:15 - 23.09.2018 08:30,5385,5712
23.09.2018 08:30 - 23.09.2018 08:45,5453,5819
23.09.2018 08:45 - 23.09.2018 09:00,5514,5871
23.09.2018 09:00 - 23.09.2018 09:15,5595,5963
23.09.2018 09:15 - 23.09.2018 09:30,5658,6028
23.09.2018 09:30 - 23.09.2018 09:45,5709,6109
23.09.2018 09:45 - 23.09.2018 10:00,5759,6190
23.09.2018 10:00 - 23.09.2018 10:15,5808,6240
23.09.2018 10:15 - 23.09.2018 10:30,5846,6320
23.09.2018 10:30 - 23.09.2018 10:45,5897,6388
23.09.2018 10:45 - 23.09.2018 11:00,5954,6450
23.09.2018 11:00 - 23.09.2018 11:15,6014,6544
23.09.2018 11:15 - 23.09.2018 11:30,6060,6598
23.09.2018 11:30 - 23.09.2018 11:45,6057,6585
23.09.2018 11:45 - 23.09.2018 12:00,6013,6546
23.09.2018 12:00 - 23.09.2018 12:15,5938,6496
23.09.2018 12:15 - 23.09.2018 12:30,5835,6383
23.09.2018 12:30 - 23.09.2018 12:45,5771,6357
23.09.2018 12:45 - 23.09.2018 13:00,5713,6315
23.09.2018 13:00 - 23.09.2018 13:15,5680,6176
23.09.2018 13:15 - 23.09.2018 13:30,5623,6114
23.09.2018 13:30 - 23.09.2018 13:45,5580,6123
23.09.2018 13:45 - 23.09.2018 14:00,5533,6103
23.09.2018 14:00 - 23.09.2018 14:15,5504,5957
23.09.2018 14:15 - 23.09.2018 14:30,5473,5912
23.09.2018 14:30 - 23.09.2018 14:45,5447,5852
23.09.2018 14:45 - 23.09.2018 15:00,5420,5826
23.09.2018 15:00 - 23.09.2018 15:15,5444,5796
23.09.2018 15:15 - 23.09.2018 15:30,5426,5804
23.09.2018 15:30 - 23.09.2018 15:45,5425,5812
23.09.2018 15:45 - 23.09.2018 16:00,5433,5773
23.09.2018 16:00 - 23.09.2018 16:15,5467,5826
23.09.2018 16:15 - 23.09.2018 16:30,5490,5868
23.09.2018 16:30 - 23.09.2018 16:45,5533,5872
23.09.2018 16:45 - 23.09.2018 17:00,5586,5902
23.09.2018 17:00 - 23.09.2018 17:15,5644,6033
23.09.2018 17:15 - 23.09.2018 17:30,5708,6118
23.09.2018 17:30 - 23.09.2018 17:45,5773,6167
23.09.2018 17:45 - 23.09.2018 18:00,5845,6208
23.09.2018 18:00 - 23.09.2018 18:15,5954,6349
23.09.2018 18:15 - 23.09.2018 18:30,6008,6455
23.09.2018 18:30 - 23.09.2018 18:45,6073,6545
23.09.2018 18:45 - 23.09.2018 19:00,6134,6612
23.09.2018 19:00 - 23.09.2018 19:15,6102,6581
23.09.2018 19:15 - 23.09.2018 19:30,6168,6655
23.09.2018 19:30 - 23.09.2018 19:45,6230,6702
23.09.2018 19:45 - 23.09.2018 20:00,6285,6734
23.09.2018 20:00 - 23.09.2018 20:15,6318,6624
23.09.2018 20:15 - 23.09.2018 20:30,6280,6562
23.09.2018 20:30 - 23.09.2018 20:45,6193,6453
23.09.2018 20:45 - 23.09.2018 21:00,6102,6348
23.09.2018 21:00 - 23.09.2018 21:15,5999,6202
23.09.2018 21:15 - 23.09.2018 21:30,5905,6134
23.09.2018 21:30 - 23.09.2018 21:45,5828,6076
23.09.2018 21:45 - 23.09.2018 22:00,5779,6008
23.09.2018 22:00 - 23.09.2018 22:15,5938,6218
23.09.2018 22:15 - 23.09.2018 22:30,5905,6194
23.09.2018 22:30 - 23.09.2018 22:45,5779,6046
23.09.2018 22:45 - 23.09.2018 23:00,5652,5929
23.09.2018 23:00 - 23.09.2018 23:15,5611,5856
23.09.2018 23:15 - 23.09.2018 23:30,5482,5715
23.09.2018 23:30 - 23.09.2018 23:45,5372,5624
23.09.2018 23:45 - 24.09.2018 00:00,5319,5594
24.09.2018 00:00 - 24.09.2018 00:15,5618,5631
24.09.2018 00:15 - 24.09.2018 00:30,5515,5602
24.09.2018 00:30 - 24.09.2018 00:45,5417,5575
24.09.2018 00:45 - 24.09.2018 01:00,5322,5496
24.09.2018 01:00 - 24.09.2018 01:15,5288,5337
24.09.2018 01:15 - 24.09.2018 01:30,5205,5262
24.09.2018 01:30 - 24.09.2018 01:45,5149,5260
24.09.2018 01:45 - 24.09.2018 02:00,5105,5298
24.09.2018 02:00 - 24.09.2018 02:15,5163,5296
24.09.2018 02:15 - 24.09.2018 02:30,5115,5259
24.09.2018 02:30 - 24.09.2018 02:45,5065,5206
24.09.2018 02:45 - 24.09.2018 03:00,5019,5158
24.09.2018 03:00 - 24.09.2018 03:15,5007,5160
24.09.2018 03:15 - 24.09.2018 03:30,4979,5181
24.09.2018 03:30 - 24.09.2018 03:45,4974,5164
24.09.2018 03:45 - 24.09.2018 04:00,4982,5183
24.09.2018 04:00 - 24.09.2018 04:15,5035,5262
24.09.2018 04:15 - 24.09.2018 04:30,5070,5325
24.09.2018 04:30 - 24.09.2018 04:45,5138,5317
24.09.2018 04:45 - 24.09.2018 05:00,5231,5404
24.09.2018 05:00 - 24.09.2018 05:15,5422,5659
24.09.2018 05:15 - 24.09.2018 05:30,5609,5866
24.09.2018 05:30 - 24.09.2018 05:45,5817,6077
24.09.2018 05:45 - 24.09.2018 06:00,6074,6338
24.09.2018 06:00 - 24.09.2018 06:15,6500,6846
24.09.2018 06:15 - 24.09.2018 06:30,6765,7194
24.09.2018 06:30 - 24.09.2018 06:45,6967,7358
24.09.2018 06:45 - 24.09.2018 07:00,7144,7548
24.09.2018 07:00 - 24.09.2018 07:15,7427,7884
24.09.2018 07:15 - 24.09.2018 07:30,7555,7954
24.09.2018 07:30 - 24.09.2018 07:45,7656,8068
24.09.2018 07:45 - 24.09.2018 08:00,7735,8143
24.09.2018 08:00 - 24.09.2018 08:15,7824,8245
24.09.2018 08:15 - 24.09.2018 08:30,7859,8332
24.09.2018 08:30 - 24.09.2018 08:45,7880,8328
24.09.2018 08:45 - 24.09.2018 09:00,7884,8367
24.09.2018 09:00 - 24.09.2018 09:15,7837,8355
24.09.2018 09:15 - 24.09.2018 09:30,7850,8511
24.09.2018 09:30 - 24.09.2018 09:45,7874,8570
24.09.2018 09:45 - 24.09.2018 10:00,7887,8568
24.09.2018 10:00 - 24.09.2018 10:15,7880,8545
24.09.2018 10:15 - 24.09.2018 10:30,7894,8593
24.09.2018 10:30 - 24.09.2018 10:45,7916,8658
24.09.2018 10:45 - 24.09.2018 11:00,7952,8629
24.09.2018 11:00 - 24.09.2018 11:15,7974,8715
24.09.2018 11:15 - 24.09.2018 11:30,8003,8740
24.09.2018 11:30 - 24.09.2018 11:45,8004,8724
24.09.2018 11:45 - 24.09.2018 12:00,7973,8698
24.09.2018 12:00 - 24.09.2018 12:15,7864,8615
24.09.2018 12:15 - 24.09.2018 12:30,7768,8494
24.09.2018 12:30 - 24.09.2018 12:45,7745,8430
24.09.2018 12:45 - 24.09.2018 13:00,7738,8349
24.09.2018 13:00 - 24.09.2018 13:15,7772,8314
24.09.2018 13:15 - 24.09.2018 13:30,7759,8333
24.09.2018 13:30 - 24.09.2018 13:45,7734,8314
24.09.2018 13:45 - 24.09.2018 14:00,7696,8244
24.09.2018 14:00 - 24.09.2018 14:15,7688,8261
24.09.2018 14:15 - 24.09.2018 14:30,7673,8280
24.09.2018 14:30 - 24.09.2018 14:45,7653,8290
24.09.2018 14:45 - 24.09.2018 15:00,7637,8245
24.09.2018 15:00 - 24.09.2018 15:15,7635,8214
24.09.2018 15:15 - 24.09.2018 15:30,7609,8148
24.09.2018 15:30 - 24.09.2018 15:45,7587,8104
24.09.2018 15:45 - 24.09.2018 16:00,7589,8175
24.09.2018 16:00 - 24.09.2018 16:15,7580,8184
24.09.2018 16:15 - 24.09.2018 16:30,7573,8200
24.09.2018 16:30 - 24.09.2018 16:45,7570,8230
24.09.2018 16:45 - 24.09.2018 17:00,7569,8178
24.09.2018 17:00 - 24.09.2018 17:15,7564,8187
24.09.2018 17:15 - 24.09.2018 17:30,7604,8101
24.09.2018 17:30 - 24.09.2018 17:45,7647,8169
24.09.2018 17:45 - 24.09.2018 18:00,7677,8222
24.09.2018 18:00 - 24.09.2018 18:15,7648,8245
24.09.2018 18:15 - 24.09.2018 18:30,7657,8225
24.09.2018 18:30 - 24.09.2018 18:45,7674,8287
24.09.2018 18:45 - 24.09.2018 19:00,7683,8288
24.09.2018 19:00 - 24.09.2018 19:15,7580,8389
24.09.2018 19:15 - 24.09.2018 19:30,7583,8467
24.09.2018 19:30 - 24.09.2018 19:45,7606,8318
24.09.2018 19:45 - 24.09.2018 20:00,7597,8201
24.09.2018 20:00 - 24.09.2018 20:15,7539,8065
24.09.2018 20:15 - 24.09.2018 20:30,7430,7956
24.09.2018 20:30 - 24.09.2018 20:45,7290,7730
24.09.2018 20:45 - 24.09.2018 21:00,7144,7630
24.09.2018 21:00 - 24.09.2018 21:15,6977,7442
24.09.2018 21:15 - 24.09.2018 21:30,6839,7286
24.09.2018 21:30 - 24.09.2018 21:45,6683,7210
24.09.2018 21:45 - 24.09.2018 22:00,6537,7038
24.09.2018 22:00 - 24.09.2018 22:15,6599,7083
24.09.2018 22:15 - 24.09.2018 22:30,6491,6948
24.09.2018 22:30 - 24.09.2018 22:45,6327,6814
24.09.2018 22:45 - 24.09.2018 23:00,6177,6664
24.09.2018 23:00 - 24.09.2018 23:15,6094,6507
24.09.2018 23:15 - 24.09.2018 23:30,5930,6386
24.09.2018 23:30 - 24.09.2018 23:45,5798,6298
24.09.2018 23:45 - 25.09.2018 00:00,5834,6229
25.09.2018 00:00 - 25.09.2018 00:15,5618,6224
25.09.2018 00:15 - 25.09.2018 00:30,5515,6148
25.09.2018 00:30 - 25.09.2018 00:45,5417,6056
25.09.2018 00:45 - 25.09.2018 01:00,5322,5984
25.09.2018 01:00 - 25.09.2018 01:15,5288,5936
25.09.2018 01:15 - 25.09.2018 01:30,5205,5849
25.09.2018 01:30 - 25.09.2018 01:45,5149,5778
25.09.2018 01:45 - 25.09.2018 02:00,5105,5740
25.09.2018 02:00 - 25.09.2018 02:15,5163,5790
25.09.2018 02:15 - 25.09.2018 02:30,5115,5748
25.09.2018 02:30 - 25.09.2018 02:45,5065,5688
25.09.2018 02:45 - 25.09.2018 03:00,5019,5636
25.09.2018 03:00 - 25.09.2018 03:15,5007,5650
25.09.2018 03:15 - 25.09.2018 03:30,4979,5626
25.09.2018 03:30 - 25.09.2018 03:45,4974,5631
25.09.2018 03:45 - 25.09.2018 04:00,4982,5563
25.09.2018 04:00 - 25.09.2018 04:15,5035,5666
25.09.2018 04:15 - 25.09.2018 04:30,5070,5674
25.09.2018 04:30 - 25.09.2018 04:45,5138,5718
25.09.2018 04:45 - 25.09.2018 05:00,5231,5820
25.09.2018 05:00 - 25.09.2018 05:15,5422,6078
25.09.2018 05:15 - 25.09.2018 05:30,5609,6242
25.09.2018 05:30 - 25.09.2018 05:45,5817,6445
25.09.2018 05:45 - 25.09.2018 06:00,6074,6697
25.09.2018 06:00 - 25.09.2018 06:15,6500,7081
25.09.2018 06:15 - 25.09.2018 06:30,6765,7402
25.09.2018 06:30 - 25.09.2018 06:45,6967,7618
25.09.2018 06:45 - 25.09.2018 07:00,7144,7724
25.09.2018 07:00 - 25.09.2018 07:15,7427,8147
25.09.2018 07:15 - 25.09.2018 07:30,7555,8234
25.09.2018 07:30 - 25.09.2018 07:45,7656,8296
25.09.2018 07:45 - 25.09.2018 08:00,7735,8355
25.09.2018 08:00 - 25.09.2018 08:15,7824,8373
25.09.2018 08:15 - 25.09.2018 08:30,7859,8400
25.09.2018 08:30 - 25.09.2018 08:45,7880,8411
25.09.2018 08:45 - 25.09.2018 09:00,7884,8397
25.09.2018 09:00 - 25.09.2018 09:15,7837,8262
25.09.2018 09:15 - 25.09.2018 09:30,7850,8300
25.09.2018 09:30 - 25.09.2018 09:45,7874,8378
25.09.2018 09:45 - 25.09.2018 10:00,7887,8381
25.09.2018 10:00 - 25.09.2018 10:15,7880,8320
25.09.2018 10:15 - 25.09.2018 10:30,7894,8304
25.09.2018 10:30 - 25.09.2018 10:45,7916,8344
25.09.2018 10:45 - 25.09.2018 11:00,7952,8394
25.09.2018 11:00 - 25.09.2018 11:15,7974,8420
25.09.2018 11:15 - 25.09.2018 11:30,8003,8416
25.09.2018 11:30 - 25.09.2018 11:45,8004,8415
25.09.2018 11:45 - 25.09.2018 12:00,7973,8330
25.09.2018 12:00 - 25.09.2018 12:15,7864,8190
25.09.2018 12:15 - 25.09.2018 12:30,7768,8092
25.09.2018 12:30 - 25.09.2018 12:45,7745,8079
25.09.2018 12:45 - 25.09.2018 13:00,7738,8056
25.09.2018 13:00 - 25.09.2018 13:15,7772,8110
25.09.2018 13:15 - 25.09.2018 13:30,7759,8110
25.09.2018 13:30 - 25.09.2018 13:45,7734,8033
25.09.2018 13:45 - 25.09.2018 14:00,7696,7988
25.09.2018 14:00 - 25.09.2018 14:15,7688,7969
25.09.2018 14:15 - 25.09.2018 14:30,7673,7958
25.09.2018 14:30 - 25.09.2018 14:45,7653,7934
25.09.2018 14:45 - 25.09.2018 15:00,7637,7929
25.09.2018 15:00 - 25.09.2018 15:15,7635,7951
25.09.2018 15:15 - 25.09.2018 15:30,7609,7952
25.09.2018 15:30 - 25.09.2018 15:45,7587,7944
25.09.2018 15:45 - 25.09.2018 16:00,7589,7852
25.09.2018 16:00 - 25.09.2018 16:15,7580,7868
25.09.2018 16:15 - 25.09.2018 16:30,7573,7864
25.09.2018 16:30 - 25.09.2018 16:45,7570,7895
25.09.2018 16:45 - 25.09.2018 17:00,7569,7890
25.09.2018 17:00 - 25.09.2018 17:15,7564,7908
25.09.2018 17:15 - 25.09.2018 17:30,7604,7993
25.09.2018 17:30 - 25.09.2018 17:45,7647,8044
25.09.2018 17:45 - 25.09.2018 18:00,7677,8084
25.09.2018 18:00 - 25.09.2018 18:15,7648,8115
25.09.2018 18:15 - 25.09.2018 18:30,7657,8189
25.09.2018 18:30 - 25.09.2018 18:45,7674,8265
25.09.2018 18:45 - 25.09.2018 19:00,7683,8341
25.09.2018 19:00 - 25.09.2018 19:15,7580,8331
25.09.2018 19:15 - 25.09.2018 19:30,7583,8376
25.09.2018 19:30 - 25.09.2018 19:45,7606,8348
25.09.2018 19:45 - 25.09.2018 20:00,7597,8231
25.09.2018 20:00 - 25.09.2018 20:15,7539,8053
25.09.2018 20:15 - 25.09.2018 20:30,7430,7902
25.09.2018 20:30 - 25.09.2018 20:45,7290,7808
25.09.2018 20:45 - 25.09.2018 21:00,7144,7668
25.09.2018 21:00 - 25.09.2018 21:15,6977,7392
25.09.2018 21:15 - 25.09.2018 21:30,6839,7234
25.09.2018 21:30 - 25.09.2018 21:45,6683,7093
25.09.2018 21:45 - 25.09.2018 22:00,6537,6958
25.09.2018 22:00 - 25.09.2018 22:15,6599,7050
25.09.2018 22:15 - 25.09.2018 22:30,6491,6971
25.09.2018 22:30 - 25.09.2018 22:45,6327,6839
25.09.2018 22:45 - 25.09.2018 23:00,6177,6693
25.09.2018 23:00 - 25.09.2018 23:15,6094,6656
25.09.2018 23:15 - 25.09.2018 23:30,5930,6465
25.09.2018 23:30 - 25.09.2018 23:45,5798,6376
25.09.2018 23:45 - 26.09.2018 00:00,5834,6311
26.09.2018 00:00 - 26.09.2018 00:15,5618,6317
26.09.2018 00:15 - 26.09.2018 00:30,5515,6190
26.09.2018 00:30 - 26.09.2018 00:45,5417,6096
26.09.2018 00:45 - 26.09.2018 01:00,5322,5995
26.09.2018 01:00 - 26.09.2018 01:15,5288,5958
26.09.2018 01:15 - 26.09.2018 01:30,5205,5896
26.09.2018 01:30 - 26.09.2018 01:45,5149,5862
26.09.2018 01:45 - 26.09.2018 02:00,5105,5813
26.09.2018 02:00 - 26.09.2018 02:15,5163,5855
26.09.2018 02:15 - 26.09.2018 02:30,5115,5798
26.09.2018 02:30 - 26.09.2018 02:45,5065,5756
26.09.2018 02:45 - 26.09.2018 03:00,5019,5732
26.09.2018 03:00 - 26.09.2018 03:15,5007,5694
26.09.2018 03:15 - 26.09.2018 03:30,4979,5628
26.09.2018 03:30 - 26.09.2018 03:45,4974,5619
26.09.2018 03:45 - 26.09.2018 04:00,4982,5625
26.09.2018 04:00 - 26.09.2018 04:15,5035,5681
26.09.2018 04:15 - 26.09.2018 04:30,5070,5741
26.09.2018 04:30 - 26.09.2018 04:45,5138,5855
26.09.2018 04:45 - 26.09.2018 05:00,5231,5901
26.09.2018 05:00 - 26.09.2018 05:15,5422,6167
26.09.2018 05:15 - 26.09.2018 05:30,5609,6330
26.09.2018 05:30 - 26.09.2018 05:45,5817,6513
26.09.2018 05:45 - 26.09.2018 06:00,6074,6759
26.09.2018 06:00 - 26.09.2018 06:15,6500,7196
26.09.2018 06:15 - 26.09.2018 06:30,6765,7503
26.09.2018 06:30 - 26.09.2018 06:45,6967,7783
26.09.2018 06:45 - 26.09.2018 07:00,7144,7910
26.09.2018 07:00 - 26.09.2018 07:15,7427,8281
26.09.2018 07:15 - 26.09.2018 07:30,7555,8365
26.09.2018 07:30 - 26.09.2018 07:45,7656,8460
26.09.2018 07:45 - 26.09.2018 08:00,7735,8526
26.09.2018 08:00 - 26.09.2018 08:15,7824,8598
26.09.2018 08:15 - 26.09.2018 08:30,7859,8626
26.09.2018 08:30 - 26.09.2018 08:45,7880,8556
26.09.2018 08:45 - 26.09.2018 09:00,7884,8530
26.09.2018 09:00 - 26.09.2018 09:15,7837,8446
26.09.2018 09:15 - 26.09.2018 09:30,7850,8460
26.09.2018 09:30 - 26.09.2018 09:45,7874,8475
26.09.2018 09:45 - 26.09.2018 10:00,7887,8430
26.09.2018 10:00 - 26.09.2018 10:15,7880,8338
26.09.2018 10:15 - 26.09.2018 10:30,7894,8374
26.09.2018 10:30 - 26.09.2018 10:45,7916,8402
26.09.2018 10:45 - 26.09.2018 11:00,7952,8485
26.09.2018 11:00 - 26.09.2018 11:15,7974,8445
26.09.2018 11:15 - 26.09.2018 11:30,8003,8457
26.09.2018 11:30 - 26.09.2018 11:45,8004,8460
26.09.2018 11:45 - 26.09.2018 12:00,7973,8481
26.09.2018 12:00 - 26.09.2018 12:15,7864,8287
26.09.2018 12:15 - 26.09.2018 12:30,7768,8149
26.09.2018 12:30 - 26.09.2018 12:45,7745,8154
26.09.2018 12:45 - 26.09.2018 13:00,7738,8122
26.09.2018 13:00 - 26.09.2018 13:15,7772,8113
26.09.2018 13:15 - 26.09.2018 13:30,7759,8126
26.09.2018 13:30 - 26.09.2018 13:45,7734,8091
26.09.2018 13:45 - 26.09.2018 14:00,7696,8016
26.09.2018 14:00 - 26.09.2018 14:15,7688,7994
26.09.2018 14:15 - 26.09.2018 14:30,7673,7994
26.09.2018 14:30 - 26.09.2018 14:45,7653,7923
26.09.2018 14:45 - 26.09.2018 15:00,7637,7937
26.09.2018 15:00 - 26.09.2018 15:15,7635,7979
26.09.2018 15:15 - 26.09.2018 15:30,7609,7944
