Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Great Britain,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
8324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8335,0,0,0,0,0,0,0.11730117,0,0,0,0,0.036637804,0,0,0,0,0,0,0,0,0,0.003085736,0,0,0,0,0,0,0,0,0,0,0,0,0
8336,18.53893108,0.513751,0.06933801,20.86474625,2.429356504,3.623941284,77.37733742,0.250489778,0,0,0,43.55167558,0,0,8.227083599,12.07447823,0,67.92372442,0,0,0,34.54022166,3.761459648,0.425630799,0,1.741949556,2.178955631,0.868140299,47.69713494,1.503532394,0.196587562,252.917061,0,0,34.16187009
8337,78.82349853,47.39014651,3.995983346,170.5153623,152.5973131,50.57542047,277.3526073,37.85048088,0.050266422,8.47E-06,0,495.8219771,29.62102004,40.26926116,350.6377588,153.7115982,1.430397782,571.8790652,0.047725072,0.049538741,0.03503302,125.8680926,23.31284974,65.74586763,0,48.03758396,258.9921185,160.7427056,247.8222521,32.92059141,14.53600213,3345.136698,0.266407414,17.46443771,561.4712434
8338,134.9577043,142.477887,12.43649502,328.0791015,435.6223222,110.0090078,464.957082,134.0978675,20.4035306,1.855425922,0.572421321,1282.399132,299.6667717,534.0641805,986.6845553,387.1526558,123.55184,1308.719294,10.80355341,6.638407587,0.617164607,205.5226401,42.78701697,192.6822587,9.885462288,133.4713906,887.6937233,605.6277387,456.2354418,82.96349569,41.99550352,8388.163107,28.29613289,91.90839065,1662.357342
8339,174.6639667,218.8824072,22.84758633,446.2631803,672.9325246,162.4317853,594.891282,215.0166153,76.92344021,9.773847416,31.69272505,2092.354153,725.7110994,1154.659033,1526.695035,558.6082815,394.3584318,1910.285768,38.18406921,18.62368537,1.631811123,258.5105229,56.00801124,285.1196664,216.0594217,222.7774439,1528.230787,1057.287903,605.1877898,154.4338131,67.97656417,13485.78142,171.2883391,168.8281893,2747.649424
8340,190.2201511,256.5676057,31.1508606,488.2115297,818.3204238,217.5643317,650.4373073,232.3160835,122.9674135,16.7439374,115.1134325,2607.766714,1123.557323,1520.431058,1875.245756,650.3236181,686.3862586,2209.888083,55.89153033,25.85907518,3.026081329,277.2678118,61.79666279,297.0100148,506.4963464,287.9742778,1819.885302,1303.527257,666.6815173,221.4786553,82.64522342,17245.11603,338.3890878,210.4610114,3392.906084
