Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,14.04.2018 01:00 - 14.04.2018 01:30 (CET),1477,0,0,16870,301,0,0,0,0,0,212,0,0,6675,131,0,0,0,244,584
BZN|GB,14.04.2018 01:30 - 14.04.2018 02:00 (CET),1479,0,0,15912,244,0,0,0,0,0,206,0,0,6782,131,0,0,0,248,588
BZN|GB,14.04.2018 02:00 - 14.04.2018 02:30 (CET),1454,0,0,15520,244,0,0,0,0,0,187,0,0,6793,131,0,0,0,267,611
BZN|GB,14.04.2018 02:30 - 14.04.2018 03:00 (CET),1459,0,0,15739,245,0,0,0,0,0,177,0,0,6808,131,0,0,0,267,620
BZN|GB,14.04.2018 03:00 - 14.04.2018 03:30 (CET),1459,0,0,16159,244,0,0,0,0,0,163,0,0,6812,130,0,0,0,325,623
BZN|GB,14.04.2018 03:30 - 14.04.2018 04:00 (CET),1455,0,0,15774,244,0,0,0,0,0,153,0,0,6800,131,0,0,0,319,659
BZN|GB,14.04.2018 04:00 - 14.04.2018 04:30 (CET),1457,0,0,15504,243,0,0,0,0,0,151,0,0,6805,130,0,0,0,341,704
BZN|GB,14.04.2018 04:30 - 14.04.2018 05:00 (CET),1459,0,0,14977,244,0,0,0,0,0,149,0,0,6800,131,0,0,0,382,704
BZN|GB,14.04.2018 05:00 - 14.04.2018 05:30 (CET),1449,0,0,14900,244,0,0,0,0,0,153,0,0,6795,131,0,0,0,25,461
BZN|GB,14.04.2018 05:30 - 14.04.2018 06:00 (CET),1437,0,0,14518,243,0,0,0,0,0,56,0,0,6807,131,0,0,0,372,694
