Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Finland (FI),03.01.2018 16:00 - 03.01.2018 17:00 (CET),906,0,0,761,751,1,0,464,0,0,0,2276,0,0,2792,74,43,0,7,0,422
Finland (FI),03.01.2018 17:00 - 03.01.2018 18:00 (CET),908,0,0,752,760,1,0,449,0,0,0,2286,0,0,2792,74,43,0,7,0,420
Finland (FI),03.01.2018 18:00 - 03.01.2018 19:00 (CET),906,0,0,759,765,1,0,452,0,0,0,2225,0,0,2792,74,43,0,7,0,406
Finland (FI),03.01.2018 19:00 - 03.01.2018 20:00 (CET),912,0,0,745,761,1,0,459,0,0,0,2143,0,0,2792,74,43,0,7,0,385
Finland (FI),03.01.2018 20:00 - 03.01.2018 21:00 (CET),914,0,0,743,764,1,0,460,0,0,0,1945,0,0,2792,74,43,0,7,0,320
Finland (FI),03.01.2018 21:00 - 03.01.2018 22:00 (CET),890,0,0,689,762,1,0,457,0,0,0,1738,0,0,2792,74,43,0,7,0,231
Finland (FI),03.01.2018 22:00 - 03.01.2018 23:00 (CET),880,0,0,602,755,1,0,451,0,0,0,1556,0,0,2792,74,43,0,7,0,203
Finland (FI),03.01.2018 23:00 - 04.01.2018 00:00 (CET),883,0,0,585,750,1,0,432,0,0,0,1440,0,0,2792,74,43,0,7,0,194
Finland (FI),04.01.2018 00:00 - 04.01.2018 01:00 (CET),870,0,0,574,750,1,0,419,0,0,0,1394,0,0,2793,74,43,0,7,0,169
Finland (FI),04.01.2018 01:00 - 04.01.2018 02:00 (CET),869,0,0,579,749,1,0,423,0,0,0,1418,0,0,2792,76,43,0,7,0,166
Finland (FI),04.01.2018 02:00 - 04.01.2018 03:00 (CET),861,0,0,584,759,1,0,428,0,0,0,1382,0,0,2791,76,43,0,7,0,160
Finland (FI),04.01.2018 03:00 - 04.01.2018 04:00 (CET),874,0,0,579,751,1,0,429,0,0,0,1378,0,0,2791,77,43,0,7,0,155
Finland (FI),04.01.2018 04:00 - 04.01.2018 05:00 (CET),873,0,0,604,751,1,0,438,0,0,0,1351,0,0,2792,78,43,0,7,0,171
Finland (FI),04.01.2018 05:00 - 04.01.2018 06:00 (CET),878,0,0,691,752,1,0,463,0,0,0,1500,0,0,2792,80,43,0,7,0,190
Finland (FI),04.01.2018 06:00 - 04.01.2018 07:00 (CET),891,0,0,760,750,1,0,483,0,0,0,1800,0,0,2791,81,43,0,7,0,195
Finland (FI),04.01.2018 07:00 - 04.01.2018 08:00 (CET),905,0,0,762,755,1,0,486,0,0,0,1982,0,0,2792,84,43,0,7,0,213
Finland (FI),04.01.2018 08:00 - 04.01.2018 09:00 (CET),894,0,0,758,755,13,0,506,0,0,0,2090,0,0,2792,85,44,0,7,0,249
Finland (FI),04.01.2018 09:00 - 04.01.2018 10:00 (CET),903,0,0,771,746,13,0,541,0,0,0,2170,0,0,2791,87,44,0,7,0,299
Finland (FI),04.01.2018 10:00 - 04.01.2018 11:00 (CET),903,0,0,780,740,1,0,553,0,0,0,2192,0,0,2791,87,44,0,7,0,352
Finland (FI),04.01.2018 11:00 - 04.01.2018 12:00 (CET),910,0,0,796,737,1,0,546,0,0,0,2219,0,0,2792,87,44,0,7,0,384
Finland (FI),04.01.2018 12:00 - 04.01.2018 13:00 (CET),921,0,0,768,742,1,0,547,0,0,0,2194,0,0,2792,87,44,0,7,0,432
Finland (FI),04.01.2018 13:00 - 04.01.2018 14:00 (CET),928,0,0,758,735,1,0,551,0,0,0,2241,0,0,2792,87,44,0,7,0,429
Finland (FI),04.01.2018 14:00 - 04.01.2018 15:00 (CET),952,0,0,757,740,1,0,573,0,0,0,2271,0,0,2792,87,44,0,7,0,442
Finland (FI),04.01.2018 15:00 - 04.01.2018 16:00 (CET),950,0,0,762,757,1,0,579,0,0,0,2260,0,0,2792,87,44,0,7,0,487
Finland (FI),04.01.2018 16:00 - 04.01.2018 17:00 (CET),939,0,0,759,753,1,0,573,0,0,0,2319,0,0,2792,87,44,0,7,0,524
Finland (FI),04.01.2018 17:00 - 04.01.2018 18:00 (CET),940,0,0,762,751,1,0,527,0,0,0,2208,0,0,2792,87,44,0,7,0,567
Finland (FI),04.01.2018 18:00 - 04.01.2018 19:00 (CET),928,0,0,766,758,1,0,493,0,0,0,2046,0,0,2792,87,44,0,7,0,639
Finland (FI),04.01.2018 19:00 - 04.01.2018 20:00 (CET),910,0,0,768,755,1,0,476,0,0,0,1998,0,0,2792,87,44,0,7,0,684
Finland (FI),04.01.2018 20:00 - 04.01.2018 21:00 (CET),906,0,0,752,756,1,0,463,0,0,0,1946,0,0,2791,87,44,0,7,0,737
Finland (FI),04.01.2018 21:00 - 04.01.2018 22:00 (CET),888,0,0,660,748,1,0,458,0,0,0,1816,0,0,2792,87,44,0,7,0,775
Finland (FI),04.01.2018 22:00 - 04.01.2018 23:00 (CET),896,0,0,579,718,1,0,452,0,0,0,1612,0,0,2792,88,44,0,7,0,796
Finland (FI),04.01.2018 23:00 - 05.01.2018 00:00 (CET),898,0,0,571,718,1,0,430,0,0,0,1405,0,0,2792,89,44,0,7,0,842
